PROVINCIA,DEPARTAMENTO,iso_year,iso_week,CONFIRMADO
BUENOS AIRES,ALMIRANTE BROWN,2009,1,2
BUENOS AIRES,CHACABUCO,2009,1,1
BUENOS AIRES,COLON,2009,1,2
BUENOS AIRES,FLORENCIO VARELA,2009,1,1
BUENOS AIRES,LA MATANZA,2009,1,3
BUENOS AIRES,LA PLATA,2009,1,1
BUENOS AIRES,MERLO,2009,1,1
BUENOS AIRES,MORENO,2009,1,3
BUENOS AIRES,MORON,2009,1,2
BUENOS AIRES,PERGAMINO,2009,1,1
BUENOS AIRES,QUILMES,2009,1,2
BUENOS AIRES,SAN FERNANDO,2009,1,1
BUENOS AIRES,SAN ISIDRO,2009,1,5
BUENOS AIRES,TIGRE,2009,1,2
BUENOS AIRES,TRES DE FEBRERO,2009,1,7
BUENOS AIRES,ALMIRANTE BROWN,2009,5,1
BUENOS AIRES,ALMIRANTE BROWN,2009,9,1
BUENOS AIRES,BERISSO,2009,9,1
BUENOS AIRES,LA PLATA,2009,9,1
BUENOS AIRES,GENERAL RODRIGUEZ,2009,10,1
BUENOS AIRES,LA MATANZA,2009,11,1
BUENOS AIRES,LA MATANZA,2009,12,1
BUENOS AIRES,HURLINGHAM,2009,13,1
BUENOS AIRES,LA MATANZA,2009,13,3
BUENOS AIRES,LA PLATA,2009,13,1
BUENOS AIRES,LANUS,2009,13,1
BUENOS AIRES,SAN MIGUEL,2009,13,1
BUENOS AIRES,TRES DE FEBRERO,2009,13,1
BUENOS AIRES,LA MATANZA,2009,14,4
BUENOS AIRES,LOMAS DE ZAMORA,2009,14,1
BUENOS AIRES,MORON,2009,14,1
BUENOS AIRES,TRES DE FEBRERO,2009,14,1
BUENOS AIRES,FLORENCIO VARELA,2009,15,1
BUENOS AIRES,LA MATANZA,2009,15,3
BUENOS AIRES,SAN VICENTE,2009,15,1
BUENOS AIRES,TRES DE FEBRERO,2009,15,3
BUENOS AIRES,LA MATANZA,2009,16,3
BUENOS AIRES,ESCOBAR,2009,17,1
BUENOS AIRES,LA MATANZA,2009,17,1
BUENOS AIRES,LA MATANZA,2009,18,2
BUENOS AIRES,LA MATANZA,2009,19,1
BUENOS AIRES,TRES DE FEBRERO,2009,19,1
BUENOS AIRES,TRES DE FEBRERO,2009,20,1
BUENOS AIRES,LA MATANZA,2009,21,2
BUENOS AIRES,SAN NICOLAS,2009,48,1
BUENOS AIRES,LA MATANZA,2009,50,1
BUENOS AIRES,GENERAL SAN MARTIN,2009,51,1
BUENOS AIRES,LOMAS DE ZAMORA,2009,51,1
BUENOS AIRES,MONTE,2009,51,1
BUENOS AIRES,ALMIRANTE BROWN,2009,52,1
BUENOS AIRES,ESTEBAN ECHEVERRIA,2009,52,1
BUENOS AIRES,LA MATANZA,2009,52,1
BUENOS AIRES,BAHIA BLANCA,2010,1,1
BUENOS AIRES,GENERAL PAZ,2010,1,1
BUENOS AIRES,HURLINGHAM,2010,1,1
BUENOS AIRES,LA MATANZA,2010,1,1
BUENOS AIRES,LA PLATA,2010,1,1
BUENOS AIRES,LANUS,2010,1,1
BUENOS AIRES,MONTE,2010,1,1
BUENOS AIRES,MORENO,2010,1,1
BUENOS AIRES,PRESIDENTE PERON,2010,1,2
BUENOS AIRES,TORNQUIST,2010,1,1
BUENOS AIRES,ENSENADA,2010,2,1
BUENOS AIRES,LA MATANZA,2010,2,1
BUENOS AIRES,LA PLATA,2010,2,1
BUENOS AIRES,LOMAS DE ZAMORA,2010,2,1
BUENOS AIRES,FLORENCIO VARELA,2010,3,1
BUENOS AIRES,GENERAL SAN MARTIN,2010,3,1
BUENOS AIRES,ITUZAINGO,2010,3,1
BUENOS AIRES,LA MATANZA,2010,3,1
BUENOS AIRES,BERAZATEGUI,2010,4,1
BUENOS AIRES,ENSENADA,2010,4,1
BUENOS AIRES,BRAGADO,2010,5,1
BUENOS AIRES,CHASCOMUS,2010,5,1
BUENOS AIRES,ENSENADA,2010,5,1
BUENOS AIRES,LA PLATA,2010,5,3
BUENOS AIRES,MORENO,2010,5,1
BUENOS AIRES,ITUZAINGO,2010,6,1
BUENOS AIRES,LA PLATA,2010,6,3
BUENOS AIRES,MERLO,2010,6,1
BUENOS AIRES,ENSENADA,2010,7,1
BUENOS AIRES,GENERAL PUEYRREDON,2010,7,1
BUENOS AIRES,JOSE C PAZ,2010,7,1
BUENOS AIRES,LA MATANZA,2010,7,1
BUENOS AIRES,LA PLATA,2010,7,2
BUENOS AIRES,LOMAS DE ZAMORA,2010,7,1
BUENOS AIRES,QUILMES,2010,7,2
BUENOS AIRES,AVELLANEDA,2010,8,1
BUENOS AIRES,EZEIZA,2010,8,1
BUENOS AIRES,HURLINGHAM,2010,8,1
BUENOS AIRES,LA MATANZA,2010,8,1
BUENOS AIRES,LA PLATA,2010,8,2
BUENOS AIRES,LUJAN,2010,8,1
BUENOS AIRES,MAGDALENA,2010,8,1
BUENOS AIRES,MORON,2010,8,1
BUENOS AIRES,BERAZATEGUI,2010,9,1
BUENOS AIRES,BRANDSEN,2010,9,1
BUENOS AIRES,HURLINGHAM,2010,9,1
BUENOS AIRES,ITUZAINGO,2010,9,1
BUENOS AIRES,LA MATANZA,2010,9,1
BUENOS AIRES,LA PLATA,2010,9,2
BUENOS AIRES,MORENO,2010,9,1
BUENOS AIRES,QUILMES,2010,9,2
BUENOS AIRES,ALMIRANTE BROWN,2010,10,1
BUENOS AIRES,BERAZATEGUI,2010,10,1
BUENOS AIRES,BERISSO,2010,10,2
BUENOS AIRES,HURLINGHAM,2010,10,1
BUENOS AIRES,LA PLATA,2010,10,2
BUENOS AIRES,MARCOS PAZ,2010,10,1
BUENOS AIRES,MORON,2010,10,2
BUENOS AIRES,AVELLANEDA,2010,11,1
BUENOS AIRES,BERAZATEGUI,2010,11,1
BUENOS AIRES,BRANDSEN,2010,11,1
BUENOS AIRES,FLORENCIO VARELA,2010,11,2
BUENOS AIRES,LA PLATA,2010,11,1
BUENOS AIRES,MONTE,2010,11,1
BUENOS AIRES,GENERAL RODRIGUEZ,2010,12,1
BUENOS AIRES,LA PLATA,2010,12,2
BUENOS AIRES,LA MATANZA,2010,13,1
BUENOS AIRES,PERGAMINO,2010,13,1
BUENOS AIRES,LA MATANZA,2010,14,1
BUENOS AIRES,LA PLATA,2010,15,1
BUENOS AIRES,LA PLATA,2010,16,2
BUENOS AIRES,BERAZATEGUI,2010,17,1
BUENOS AIRES,QUILMES,2010,18,1
BUENOS AIRES,SAN ISIDRO,2010,20,1
BUENOS AIRES,SAN ISIDRO,2010,33,1
BUENOS AIRES,LA PLATA,2010,52,1
BUENOS AIRES,ALMIRANTE BROWN,2011,1,1
BUENOS AIRES,PRESIDENTE PERON,2011,1,1
BUENOS AIRES,HURLINGHAM,2011,2,1
BUENOS AIRES,LOMAS DE ZAMORA,2011,4,1
BUENOS AIRES,BERISSO,2011,5,1
BUENOS AIRES,LINCOLN,2011,7,1
BUENOS AIRES,GENERAL SAN MARTIN,2011,8,1
BUENOS AIRES,PILAR,2011,8,1
BUENOS AIRES,ALMIRANTE BROWN,2011,9,1
BUENOS AIRES,BAHIA BLANCA,2011,9,1
BUENOS AIRES,LOMAS DE ZAMORA,2011,9,1
BUENOS AIRES,ALMIRANTE BROWN,2011,10,1
BUENOS AIRES,GENERAL SAN MARTIN,2011,10,1
BUENOS AIRES,ALMIRANTE BROWN,2011,11,1
BUENOS AIRES,HURLINGHAM,2011,11,2
BUENOS AIRES,LA MATANZA,2011,11,1
BUENOS AIRES,MORENO,2011,11,1
BUENOS AIRES,CHASCOMUS,2011,12,1
BUENOS AIRES,ALMIRANTE BROWN,2011,13,2
