Province name, Male, Female, Total, HH
จังหวัดขอนแก่น|00838181|00834218|01672399|00373755|
อำเภอเมืองขอนแก่น|00112965|00109721|00222686|00058031|
ตำบลในเมือง|00002649|00001585|00004234|00000001|
ตำบลสำราญ|00004405|00004378|00008783|00001945|
ตำบลโคกสี|00003978|00003996|00007974|00001784|
ตำบลท่าพระ|00009102|00009122|00018224|00004863|
ตำบลบ้านทุ่ม|00007938|00007969|00015907|00003513|
ตำบลเมืองเก่า|00007899|00008255|00016154|00005650|
ตำบลพระลับ|00008476|00008575|00017051|00004382|
ตำบลสาวะถี|00008495|00008501|00016996|00003291|
ตำบลบ้านหว้า|00005187|00005054|00010241|00002262|
ตำบลบ้านค้อ|00006726|00006677|00013403|00002833|
ตำบลแดงใหญ่|00003243|00003138|00006381|00001521|
ตำบลดอนช้าง|00002250|00002312|00004562|00000926|
ตำบลดอนหัน|00004509|00004402|00008911|00001891|
ตำบลศิลา|00017474|00014952|00032426|00011459|
ตำบลบ้านเป็ด|00009241|00009337|00018578|00006828|
ตำบลหนองตูม|00003523|00003553|00007076|00001514|
ตำบลบึงเนียม|00003439|00003409|00006848|00001434|
ตำบลโนนท่อน|00004431|00004506|00008937|00001934|
อำเภอบ้านฝาง|00026105|00025970|00052075|00011069|
ตำบลหนองบัว|00003344|00003362|00006706|00001450|
ตำบลป่าหวายนั่ง|00004044|00003930|00007974|00001688|
ตำบลโนนฆ้อง|00002908|00002863|00005771|00001183|
ตำบลบ้านเหล่า|00004867|00004972|00009839|00002050|
ตำบลป่ามะนาว|00003001|00002972|00005973|00001221|
ตำบลบ้านฝาง|00005210|00005168|00010378|00002295|
ตำบลโคกงาม|00002731|00002703|00005434|00001182|
อำเภอพระยืน|00016646|00016960|00033606|00006951|
ตำบลพระยืน|00006063|00006236|00012299|00002666|
ตำบลพระบุ|00002167|00002199|00004366|00000830|
ตำบลบ้านโต้น|00003200|00003254|00006454|00001329|
ตำบลหนองแวง|00002388|00002340|00004728|00000966|
ตำบลขามป้อม|00002828|00002931|00005759|00001160|
อำเภอหนองเรือ|00044657|00045172|00089829|00018587|
ตำบลหนองเรือ|00005990|00005914|00011904|00002390|
ตำบลบ้านเม็ง|00005749|00005943|00011692|00002239|
ตำบลบ้านกง|00003201|00003168|00006369|00001516|
ตำบลยางคำ|00004420|00004462|00008882|00001784|
ตำบลจระเข้|00003798|00003807|00007605|00001710|
ตำบลโนนทอง|00005678|00005862|00011540|00002391|
ตำบลกุดกว้าง|00004538|00004632|00009170|00001894|
ตำบลโนนทัน|00004218|00004423|00008641|00001796|
ตำบลโนนสะอาด|00004322|00004181|00008503|00001736|
ตำบลบ้านผือ|00002743|00002780|00005523|00001131|
อำเภอชุมแพ|00045648|00045280|00090928|00019690|
ตำบลชุมแพ|00004844|00004674|00009518|00001343|
ตำบลโนนหัน|00003374|00003464|00006838|00001495|
ตำบลนาหนองทุ่ม|00004250|00004168|00008418|00002615|
ตำบลโนนอุดม|00003316|00003444|00006760|00001431|
ตำบลขัวเรียง|00004165|00004338|00008503|00001761|
ตำบลหนองไผ่|00004482|00004423|00008905|00002105|
ตำบลไชยสอ|00002249|00002339|00004588|00001109|
ตำบลวังหินลาด|00003960|00003779|00007739|00001558|
ตำบลนาเพียง|00004433|00004585|00009018|00001775|
ตำบลหนองเขียด|00003018|00003090|00006108|00001306|
ตำบลหนองเสาเล้า|00003051|00003159|00006210|00001257|
