จังหวัดระยอง|00254728|00249903|00504631|00171766|
อำเภอเมืองระยอง|00050629|00047253|00097882|00037776|
ตำบลท่าประดู่|00002595|00002069|00004664|00000021|
ตำบลเชิงเนิน|00009471|00007127|00016598|00006952|
ตำบลตะพง|00007193|00007007|00014200|00006137|
ตำบลเพ|00007966|00007879|00015845|00007299|
ตำบลแกลง|00004767|00004723|00009490|00002906|
ตำบลบ้านแลง|00002843|00002909|00005752|00001420|
ตำบลนาตาขวัญ|00002544|00002614|00005158|00001323|
ตำบลเนินพระ|00002707|00002474|00005181|00004023|
ตำบลกะเฉด|00003188|00003190|00006378|00001801|
ตำบลทับมา|00003406|00003355|00006761|00003346|
ตำบลน้ำคอก|00001597|00001653|00003250|00001260|
ตำบลสำนักทอง|00002352|00002253|00004605|00001288|
อำเภอบ้านฉาง|00023489|00022136|00045625|00015715|
ตำบลสำนักท้อน|00007108|00006627|00013735|00003324|
ตำบลพลา|00004189|00004183|00008372|00003256|
ตำบลบ้านฉาง|00012192|00011326|00023518|00009135|
อำเภอแกลง|00051289|00051835|00103124|00028949|
ตำบลทางเกวียน|00003498|00003288|00006786|00001661|
ตำบลวังหว้า|00003933|00004100|00008033|00002142|
ตำบลชากโดน|00002303|00002295|00004598|00001435|
ตำบลเนินฆ้อ|00002193|00002197|00004390|00001069|
ตำบลกร่ำ|00002612|00002852|00005464|00002191|
ตำบลชากพง|00004283|00004235|00008518|00003134|
ตำบลกระแสบน|00002905|00003059|00005964|00001952|
ตำบลบ้านนา|00003812|00003760|00007572|00001663|
ตำบลทุ่งควายกิน|00007103|00007067|00014170|00004033|
ตำบลกองดิน|00004876|00004862|00009738|00002646|
ตำบลคลองปูน|00002774|00002718|00005492|00001435|
ตำบลพังราด|00002903|00003051|00005954|00001402|
ตำบลปากน้ำกระแส|00003539|00003631|00007170|00001649|
ตำบลห้วยยาง|00001695|00001753|00003448|00000945|
ตำบลสองสลึง|00002860|00002967|00005827|00001592|
อำเภอวังจันทร์|00010590|00010512|00021102|00006191|
ตำบลวังจันทร์|00001787|00001832|00003619|00001091|
ตำบลชุมแสง|00003494|00003517|00007011|00002222|
ตำบลป่ายุบใน|00002968|00002904|00005872|00001519|
ตำบลพลงตาเอี่ยม|00002341|00002259|00004600|00001359|
อำเภอบ้านค่าย|00028331|00028780|00057111|00014927|
ตำบลบ้านค่าย|00005170|00005062|00010232|00002093|
ตำบลหนองละลอก|00005165|00005255|00010420|00002845|
ตำบลหนองตะพาน|00001574|00001662|00003236|00000876|
ตำบลตาขัน|00003207|00003414|00006621|00001822|
ตำบลบางบุตร|00004537|00004521|00009058|00002318|
ตำบลหนองบัว|00005315|00005393|00010708|00003104|
ตำบลชากบก|00003363|00003473|00006836|00001869|
อำเภอปลวกแดง|00016749|00016115|00032864|00008683|
ตำบลปลวกแดง|00004197|00003786|00007983|00001674|
ตำบลตาสิทธิ์|00003184|00003125|00006309|00001420|
ตำบลละหาร|00001706|00001693|00003399|00001264|
ตำบลแม่น้ำคู้|00003656|00003650|00007306|00001917|
ตำบลมาบยางพร|00001916|00001868|00003784|00001477|
ตำบลหนองไร่|00002090|00001993|00004083|00000931|
กิ่งอำเภอเขาชะเมา|00009742|00009404|00019146|00005368|
ตำบลน้ำเป็น|00003167|00003089|00006256|00001602|
ตำบลห้วยทับมอญ|00003341|00003215|00006556|00001873|
ตำบลชำฆ้อ|00002435|00002329|00004764|00001399|
ตำบลเขาน้อย|00000799|00000771|00001570|00000494|
กิ่งอำเภอนิคมพัฒนา|00012954|00013148|00026102|00008405|
ตำบลนิคมพัฒนา|00005153|00005167|00010320|00003469|
ตำบลมาบข่า|00001739|00001827|00003566|00001792|
ตำบลพนานิคม|00002596|00002692|00005288|00001274|
ตำบลมะขามคู่|00003466|00003462|00006928|00001870|
เทศบาลเมืองมาบตาพุด|00015117|00014109|00029226|00018223|
ตำบลเนินพระ|00001791|00001729|00003520|00002713|
ตำบลทับมา|00000250|00000232|00000482|00000174|
ตำบลห้วยโป่ง|00005160|00004652|00009812|00005050|
ตำบลมาบตาพุด|00007520|00007152|00014672|00009643|
ตำบลมาบข่า|00000396|00000344|00000740|00000643|
เทศบาลตำบลเมืองแกลง|00008713|00009208|00017921|00006997|
ตำบลทางเกวียน|00008396|00008848|00017244|00006680|
ตำบลวังหว้า|00000317|00000360|00000677|00000317|
เทศบาลเมืองระยอง|00027125|00027403|00054528|00020532|
ตำบลท่าประดู่|00013893|00013920|00027813|00006754|
ตำบลเชิงเนิน|00006424|00006541|00012965|00007166|
ตำบลปากน้ำ|00003519|00003620|00007139|00001940|
ตำบลเนินพระ|00003289|00003322|00006611|00
