ทั่วประเทศ|30818629|31599425|62418054|19016784|
กรุงเทพมหานคร|02705954|02952999|05658953|02091558|
เขตพระนคร|00032504|00034853|00067357|00018473|
แขวงพระบรมมหาราชวัง|00003355|00002349|00005704|00001300|
แขวงวังบูรพาภิรมย์|00006957|00006702|00013659|00004572|
แขวงวัดราชบพิธ|00001971|00002311|00004282|00000977|
แขวงสำราญราษฎร์|00002101|00002226|00004327|00001134|
แขวงศาลเจ้าพ่อเสือ|00001813|00002240|00004053|00000986|
แขวงเสาชิงช้า|00001476|00001607|00003083|00000707|
แขวงบวรนิเวศ|00003144|00004089|00007233|00001639|
แขวงตลาดยอด|00001661|00002107|00003768|00001232|
แขวงชนะสงคราม|00001231|00001283|00002514|00000821|
แขวงบ้านพานถม|00003940|00005073|00009013|00002031|
แขวงบางขุนพรหม|00003087|00002877|00005964|00002103|
แขวงวัดสามพระยา|00001768|00001989|00003757|00000971|
เขตดุสิต|00064698|00056638|00121336|00029452|
แขวงดุสิต|00009723|00007618|00017341|00003418|
แขวงวชิรพยาบาล|00006276|00007429|00013705|00003059|
แขวงสวนจิตรลดา|00005698|00005980|00011678|00002457|
แขวงสี่แยกมหานาค|00004557|00004524|00009081|00002386|
แขวงถนนนครไชยศรี|00038444|00031087|00069531|00018132|
เขตหนองจอก|00061915|00064211|00126126|00041163|
แขวงกระทุ่มราย|00012631|00013196|00025827|00009364|
แขวงหนองจอก|00007095|00007403|00014498|00003842|
แขวงคลองสิบ|00003849|00003943|00007792|00001601|
แขวงคลองสิบสอง|00004837|00004964|00009801|00002738|
แขวงโคกแฝด|00013327|00013692|00027019|00008912|
แขวงคู้ฝั่งเหนือ|00005945|00006127|00012072|00004090|
แขวงลำผักชี|00010563|00011214|00021777|00008947|
แขวงลำต้อยติ่ง|00003668|00003672|00007340|00001669|
เขตบางรัก|00023621|00026402|00050023|00023738|
แขวงมหาพฤฒาราม|00007097|00008001|00015098|00004298|
แขวงสีลม|00005902|00006591|00012493|00008850|
แขวงสุริยวงศ์|00002555|00002858|00005413|00004303|
แขวงบางรัก|00001924|00001906|00003830|00001230|
แขวงสี่พระยา|00006143|00007046|00013189|00005057|
เขตบางเขน|00086689|00092297|00178986|00075918|
แขวงอนุสาวรีย์|00050226|00051418|00101644|00040803|
แขวงท่าแร้ง|00036463|00040879|00077342|00035115|
เขตบางกะปิ|00068489|00080604|00149093|00080062|
แขวงคลองจั่น|00038845|00046042|00084887|00041089|
แขวงหัวหมาก|00029644|00034562|00064206|00038973|
เขตปทุมวัน|00029686|00033506|00063192|00023369|
แขวงรองเมือง|00010368|00011111|00021479|00006681|
แขวงวังใหม่|00005951|00005996|00011947|00004967|
แขวงปทุมวัน|00003381|00005023|00008404|00000871|
แขวงลุมพินี|00009986|00011376|00021362|00010850|
เขตป้อมปราบศัตรูพ่าย|00029448|00030553|00060001|00019232|
แขวงป้อมปราบ|00010100|00010450|00020550|00006383|
แขวงวัดเทพศิรินทร์|00004711|00004633|00009344|00002727|
แขวงคลองมหานาค|00005795|00006424|00012219|00005275|
แขวงบ้านบาตร|00004627|00004612|00009239|00002645|
แขวงวัดโสมนัส|00004215|00004434|00008649|00002202|
เขตพระโขนง|00046085|00052479|00098564|00035312|
แขวงบางจาก|00046085|00052479|00098564|00035312|
เขตมีนบุรี|00056503|00061516|00118019|00040574|
แขวงมีนบุรี|00038384|00042482|00080866|00030083|
แขวงแสนแสบ|00018119|00019034|00037153|00010491|
เขตลาดกระบัง|00066809|00071518|00138327|00049966|
แขวงลาดกระบัง|00014364|00015482|00029846|00010196|
แขวงคลองสองต้นนุ่น|00026222|00028076|00054298|00019089|
แขวงคลองสามประเวศ|00006583|00007128|00013711|00006586|
แขวงลำปลาทิว|00008153|00008664|00016817|00007040|
แขวงทับยาว|00008262|00008728|00016990|00005321|
แขวงขุมทอง|00003225|00003440|00006665|00001734|
เขตยานนาวา|00042607|00045949|00088556|00038345|
แขวงช่องนนทรี|00025121|00027200|00052321|00023372|
แขวงบางโพงพาง|00017486|00018749|00036235|00014973|
เขตสัมพันธวงศ์|00015545|00016129|00031674|00013203|
แขวงจักรวรรดิ|00004864|00004848|00009712|00004992|
แขวงสัมพันธวงศ์|00006090|00006376|00012466|00004497|
แขวงตลาดน้อย|00004591|00004905|00009496|00003714|
เขตพญาไท|00038228|00039004|00077232|00029799|
แขวงสามเสนใน|00038228|00039004|00077232|00029799|
เขตธนบุรี|00065272|00071699|00136971|00042226|
แขวงวัดกัลยาณ์|00005715|00006442|00012157|00002702|
แขวงหิรัญรูจี|00007088|00008029|00015117|00003771|
แขวงบางยี่เรือ|00013357|00014327|00027684|00007548|
แขวงบุคคโล|00009859|00010888|00020747|00006501|
แขวงตลาดพลู|00009934|00010765|00020699|00006477|
แขวงดาวคะนอง|00010023|00010845|00020868|00007954|
แขวงสำเหร่|00009296|00010403|00019699|00007273|
เขตบางกอกใหญ่|00039185|00042542|00081727|00025941|
แขวงวัดอรุณ|00008220|00008362|00016582|00004011|
แขวงวัดท่าพระ|00030965|00034180|00065145|00021930|
เขตห้วยขวาง|00035522|00040691|00076213|00034427|
แขวงห้วยขวาง|00009935|00011617|00021552|00008881|
แขวงบางกะปิ|00008300|00008946|00017246|00011106|
แขวงสามเสนนอก|00017287|00020128|00037415|00014440|
เขตคลองสาน|00041604|00046249|00087853|00028449|
แขวงสมเด็จเจ้าพระยา|00008754|00009464|00018218|00005092|
แขวงคลองสาน|00008463|00009366|00017829|00005733|
แขวงบางลำภูล่าง|00014099|00015416|00029515|00009512|
แขวงคลองต้นไทร|00010288|00012003|00022291|00008112|
เขตตลิ่งชัน|00050444|00055286|00105730|00033469|
แขวงคลองชักพระ|00005455|00005875|00011330|00004170|
แขวงตลิ่งชัน|00013506|00014791|00028297|00009096|
แขวงฉิมพลี|00011692|00013036|00024728|00007764|
แขวงบางพรม|00006828|00007384|00014212|00003904|
