ID_MAPA,Subdistrict (English),District (English),year_week,Cases
TH100203,Suan Chitlada,Dusit,2025-W27,0
TH100103,Wat Ratchabophit,Phra Nakhon,2025-W27,0
TH100109,Chana Songkhram,Phra Nakhon,2025-W27,0
TH104401,Saphan Sung,Saphan Sung,2025-W27,1
TH101804,Khlong Ton Sai,Khlong San,2025-W27,0
TH101802,Khlong San,Khlong San,2025-W27,0
TH105002,Bang Bon Nuea,Bang Bon,2025-W27,1
TH102401,Rat Burana,Rat Burana,2025-W27,1
TH101801,Somdet Chao Phraya,Khlong San,2025-W27,0
TH103101,Bang Kho Laem,Bang Kho Laem,2025-W27,0
TH101101,Lat Krabang,Lat Krabang,2025-W27,2
TH100801,Pom Prap,Pom Prap Sattru Phai,2025-W27,2
TH100401,Maha Phruettharam,Bang Rak,2025-W27,0
TH104501,Wang Thonglang,Wang Thonglang,2025-W27,6
TH100107,Wat Bowonniwet,Phra Nakhon,2025-W27,0
TH103401,Suan Luang,Suan Luang,2025-W27,1
TH103302,Khlong Tan,Khlong Toei,2025-W27,0
TH104605,Sai Kong Din Tai,Khlong Sam Wa,2025-W27,0
TH101902,Taling Chan,Taling Chan,2025-W27,1
TH104702,,,2025-W27,0
TH102206,Bang Chak,Phasi Charoen,2025-W27,0
TH103103,Bang Kho,Bang Kho Laem,2025-W27,2
TH104901,Bang Mot,Thung Khru,2025-W27,1
TH101204,Bang Phongphang,Yan Nawa,2025-W27,3
TH101102,Khlong Song Ton Nun,Lat Krabang,2025-W27,2
TH101701,Huai Khwang,Huai Khwang,2025-W27,4
TH104403,Thap Chang,Saphan Sung,2025-W27,3
TH103701,Thung Phaya Thai,Ratchathewi,2025-W27,2
TH103501,Bang Khun Thian,Chom Thong,2025-W27,0
TH100608,Hua Mak,Bang Khen,2025-W27,1
TH103702,Thanon Phaya Thai,Ratchathewi,2025-W27,1
TH102006,Bang Khun Non,Bangkok Noi,2025-W27,0
TH100402,Si Lom,Bang Rak,2025-W27,0
TH103504,Chom Thong,Chom Thong,2025-W27,1
TH100110,Ban Phan Thom,Phra Nakhon,2025-W27,0
TH102005,Ban Chang Lo,Bangkok Noi,2025-W27,4
TH101103,Khlong Sam Prawet,Lat Krabang,2025-W27,3
TH102902,Wong Sawang,Bang Sue,2025-W27,2
TH102602,Ratchadaphisek,Din Daeng,2025-W27,0
TH104101,Thung Song Hong,Lak Si,2025-W27,2
TH101503,Bang Yi Ruea,Thon Buri,2025-W27,1
TH104504,Plubpla,Wang Thonglang,2025-W27,1
TH104801,Thawi Watthana,Thawi Watthana,2025-W27,0
TH102107,Samae Dam,Bang Khun Thian,2025-W27,0
TH101303,Talat Noi,Samphanthawong,2025-W27,0
TH100508,Tha Raeng,Bang Khen,2025-W27,3
TH100206,Thanon Nakhon Chai Si,Dusit,2025-W27,0
TH102201,Bang Wa,Phasi Charoen,2025-W27,0
TH101904,Bang Phrom,Taling Chan,2025-W27,0
TH104001,Bang Khae,Bang Khae,2025-W27,0
TH104703,Bang Na Tai,Bang Na,2025-W27,0
TH101104,Lam Pla Thio,Lat Krabang,2025-W27,2
